Title,Author,Year,Journal / Procedings ,"Motivating Effect:
2 = Positive; 
1 = Limited; 
0 = No Effect
I = Incomplete Study","O = wearable only
A = Added other factors
",Factor 1,Factor 2,Factor 3,Additional Factors,Health Condition 1,Health Condition 2,Demographic
"Go4Life exercise counseling, accelerometer feedback, and activity levels in older people. ","Thompson, W.G., Kuhle, C.L., Koepp, G.A., McCrady-Spitzer, S.K. and Levine, J.A.",2014,Archives of Gerontology and Geriatrics,1,A,Coaching,,,Coaching,Overweight,,Older Adults
Activity monitor intervention to promote physical activity of physicians-in-training: randomized controlled trial. ,"Thorndike, A.N., Mills, S., Sonnenberg, L., Palakshappa, D., Gao, T., Pau, C.T. and Regan, S.",2014,PloS ONE,0,O,None,,,None,Healthy,,Adults
Enhancing physical activity promotion in midlife women with technology-based self-monitoring and social connectivity: A pilot study. ,"Butryn, M.L., Arigo, D., Raggio, G.a., Colasanti, M. and Forman, E.M.",2014, Journal of Health Psychology,2,A,Coaching,,,Coaching,Healthy,,Women
Increasing physical activity in young adults with autism spectrum disorders ,"LaLonde, K.B., MacNeill, B.R., Eversole, L.W., Ragotzy, S.P. and Poling, A.",2014,Research in Autism Spectrum Disorders,2,A,Coaching,,,Coaching,Autism,,Young Adults
P. HealthyTogether: Exploring Social Incentives for Mobile Fitness Applications,"Chen, Y. and Pu, P.",2014,Proceedings of the Second International Symposium of Chinese CHI,2,A,Gamification,,,Gamification,Healthy,,Adults
Preliminary efficacy of prize-based contingency management to increase activity levels in healthy adults. ,"Washington, W.D., Banna, K.M. and Gibson, A.L.",2014,Journal of Applied Behavior Analysis,1,A,Gamification,,,Gamification,Healthy,,Adults
StepCity: a preliminary investigation of a personal informatics-based social game on behavior change ,"Walsh, G. and Golbeck, J.",2014,Proceedings of the extended abstracts of the 32nd annual ACM conference on Human factors in computing systems,2,A,Gamification,,,Gamification,Healthy,,Adults
Not just another walking program: Everyday Activity Supports You (EASY) model---a randomized pilot study for a parallel randomized controlled trial ,"Ashe, M.C., Winters, M., Hoppmann, C.A., Dawes, M.G., Gardiner, P.A., Giangregorio, L.M., Madden, K.M., McAllister, M.M., Wong, G., Puyat, J.H., Singer, J., Sims-Gould, J. and McKay, H.A.",2015,Pilot and Feasibility Studies,2,A,Support Group,,,Social Support,Healthy,,Women
A Mobile Health Driven Walking Program Improves Quality of Life but not Fitness or Fatness in Obese Sedentary Women ,"Stewart, K.J., Katz, J., Dobrosielski, M. and Ouyang, P.",2015,Circulation,1,A,Mobile App,,,Mobile,Obese,,Women
Addressing barriers to physical activity among women: A feasibility study using social networking-enabled technology,"Arigo, D., Schumacher, L.M., Pinkasavage, E. and Butryn, M.L.",2015,Digital Health,2,A,Social Support,,,Social Support,Overweight,Obese,Women
Effects of an Intervention using Movement Technology in a University Physical Activity Class,"Mahar, M.T., Nanney, L.W., Das, B.M., Raedeke, T.D., Vick, G.A. and Rowe, D.A.",2015,Medicine & Science in Sports & Exercise,1,O,None,,,None,Healthy,,Adults
Effects of Public Commitments and Accountability in a Technology-Supported Physical Activity Intervention ,"Munson, S.A., Krupka, E., Richardson, C. and Resnick, P.",2015,Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems,1,A,Facebook Announcement,,,Facebook Announcement,Healthy,,Adults
Encouraging regular physical activity for hormone-receptor positive breast cancer patients to improve mental and physical health during treatment and survivorship. ,"Jordan, C. and Klepsa, A.",2015,Journal of Clinical Oncology,2,A,Coaching,,,Coaching,Breast Cancer,,Women
Evaluating an Internet-based program and a behavioral coach for increasing physical activity. ,"Valbuena, D., Miltenberger, R. and Solley, E.",2015,Behavior Analysis: Research & Practice,2,A,Coaching,,,Coaching,Healthy,,Adults
Increasing physical activity of children during school recess. ,"Hayes, L.B. and Van Camp, C.M.",2015,Journal of Applied Behavior Analysis,2,A,Coaching,,,Coaching,Healthy,,Children
mHealth Physical Activity Intervention: A Randomized Pilot Study in Physically Inactive Pregnant Women. ,"Choi, J., Lee, J.H., Vittinghoff, E. and Fukuoka, Y.",2015,Maternal and Child Health Journal,1,A,Coaching,,,Coaching,Pregnancy,,Women
mHealth Physical Activity Intervention: A Randomized Pilot Study in Physically Inactive Pregnant Women. ,"Choi, J., Lee, J.H., Vittinghoff, E. and Fukuoka, Y.",2015,Maternal and Child Health Journal,0,O,None,,,None,Pregnancy,,Women
Mobile App to Reduce Inactivity in Sedentary Overweight Women ,"Finkelstein, J., Bedra, M.K., Li, X., Wood, J. and Ouyang, P.",2015,Studies in Health Technology and Informatics,2,A,Mobile App,,,Mobile,Overweight,,Women
Promoting physical activity among women using wearable technology and online social connectivity: a feasibility study ,"Arigo, D.",2015,Health Psychology and Behavioral Medicine,2,A,Coaching,Social Support,,Coaching + Social Support,Overweight,Obese,Women
Randomized Trial of a Fitbit-Based Physical Activity Intervention for Women. ,"Cadmus-Bertram, L.A., Marcus, B.H., Patterson, R.E., Parker, B.A. and Morey, B.L.",2015,American Journal of Preventive Medicine,1,O,None,,,None,Healthy,,Older Women
Text Messaging to Reduce Inactivity Using Real-Time Step Count Monitoring in Sedentary Overweight Females ,"Ouyang, P., Stewart, K.J., Bedra, M.E., York, S., Valdiviezo, C. and Finkelstein, J.",2015,Circulation,1,A,Messaging,,,Messaging,Overweight,,Women
The Effect of Fitbit Technology on Physical Activity in Inactive Adults (50+ Years of Age) ,"Vasold, K.L., Groendal, E.G. and Knous, J.L.",2015,Medicine & Science in Sports & Exercise,1,O,None,,,None,Overweight,,Adults
"Use of the Fitbit to Measure Adherence to a Physical Activity Intervention Among Overweight or Obese, Postmenopausal Women: Self-Monitoring Trajectory During 16 Weeks. ","Cadmus-Bertram, L.A., Marcus, B.H., Patterson, R.E., Parker, B.A. and Morey, B.L.",2015,JMIR mHealth and uHealth,1,O,None,,,None,Overweight,Obese,Older Women
Using A Facebook Group As An Adjunct To A Pilot mHealth Physical Activity Intervention: A Mixed Methods Approach. ,"Pumper, M.A., Mendoza, J.A., Arseniev-Koehler, A., Holm, M., Waite, A. and Moreno, M.A.",2015,Studies in Health Technology and Informatics,2,A,Facebook Group,,,Facebook Group,Healthy,,Adolescents
Wearable Sensor/Device (Fitbit One) and SMS Text-Messaging Prompts to Increase Physical Activity in Overweight and Obese Adults: A Randomized Controlled Trial. ,"Wang, J.B., Cadmus-Bertram, L.A., Natarajan, L., White, M.M., Madanat, H., Nichols, J.F., Ayala, G.X. and Pierce, J.P.",2015,Telemedicine and e-Health,1,A,Messaging,,,Messaging,Overweight,Obese,Adults
A home-based physical activity intervention using activity trackers in survivors of childhood cancer: A pilot study ,"Le, A., Mitchell, H.-R., Zheng, D.J., Rotatori, J., Fahey, J.T., Ness, K.K. and Kadan-Lottick, N.S.",2016,Pediatric Blood & Cancer,1,O,None,,,None,Cancer Survivors,,Children
A Study Analyzing the Effect of Using Accelerometer in a Lifestyle Intervention Program ,"Das, S., Rouseff, M., Guzman, H.E., Pino, A., Agatston, A., Shafer, et al.",2016,Circulation,2,A,Coaching,,,Coaching,Cardiometabolic Risk,,Adults
Effectiveness of activity trackers with and without incentives to increase physical activity (TRIPPA): a randomised controlled trial ,"Finkelstein, E.A., Haaland, B.A., Bilger, M., Sahasranaman, A., Sloan, R.A., Nang, E.E.K. and Evenson, K.R.",2016,Canadian Journal of Cardiology,2,A,Cash,Charity Incentives,,Cash + Charity Insentives,Healthy,,Adults
Effectiveness of activity trackers with and without incentives to increase physical activity (TRIPPA): a randomised controlled trial ,"Finkelstein, E.A., Haaland, B.A., Bilger, M., Sahasranaman, A., Sloan, R.A., Nang, E.E.K. and Evenson, K.R.",2016,Canadian Journal of Cardiology,0,O,None,,,None,Healthy,,Adults
Effects of Playing a Serious Computer Game on Body Mass Index and Nutrition Knowledge in Women,"Shiyko, M., Hallinan, S., Seif El-Nasr, M., Subramanian, S. and Castaneda-Sceppa, C.",2016,JMIR Serious Games,2,A,Gamification,,,Gamification,Overweight,,Women
