top nodes,number of nodes,community nodes,community links
"['Gamification', 'Obese']",8,"['Gamification', 'Obese', 'Adults', 'Coaching', 'Messaging', 'Overweight', 'Web App', 'Women']","[('Coaching', 'Women'), ('Gamification', 'Messaging'), ('Coaching', 'Obese'), ('Coaching', 'Web App'), ('Obese', 'Web App'), ('Adults', 'Obese'), ('Obese', 'Overweight'), ('Overweight', 'Web App'), ('Adults', 'Web App'), ('Coaching', 'Overweight'), ('Messaging', 'Overweight'), ('Messaging', 'Web App'), ('Adults', 'Gamification'), ('Adults', 'Messaging'), ('Messaging', 'Women'), ('Gamification', 'Web App'), ('Adults', 'Coaching'), ('Gamification', 'Overweight'), ('Messaging', 'Obese'), ('Coaching', 'Messaging'), ('Gamification', 'Obese'), ('Gamification', 'Women'), ('Adults', 'Overweight'), ('Web App', 'Women'), ('Coaching', 'Gamification'), ('Obese', 'Women'), ('Overweight', 'Women')]"
['Personal Training'],8,"['Obese', 'Ovarian Cancer', 'Coaching', 'Men', 'Messaging', 'Women', 'Personal Training', 'Overweight']","[('Messaging', 'Personal Training'), ('Obese', 'Personal Training'), ('Men', 'Overweight'), ('Coaching', 'Personal Training'), ('Coaching', 'Ovarian Cancer'), ('Overweight', 'Personal Training'), ('Men', 'Messaging'), ('Personal Training', 'Women'), ('Ovarian Cancer', 'Women'), ('Men', 'Obese'), ('Coaching', 'Men')]"
['Healthy'],7,"['Gamification', 'Healthy', 'Coaching', 'Messaging', 'Women', 'Web App', 'Adults']","[('Adults', 'Healthy'), ('Healthy', 'Women'), ('Healthy', 'Messaging'), ('Healthy', 'Web App'), ('Coaching', 'Healthy'), ('Gamification', 'Healthy')]"
['Social Support'],6,"['Obese', 'Social Support', 'Coaching', 'Overweight', 'Adults', 'Women']","[('Adults', 'Social Support'), ('Overweight', 'Social Support'), ('Obese', 'Social Support'), ('Social Support', 'Women'), ('Coaching', 'Social Support')]"
['Young Adults'],6,"['Obese', 'Gamification', 'Young Adults', 'Coaching', 'Twitter', 'Overweight']","[('Overweight', 'Young Adults'), ('Obese', 'Twitter'), ('Overweight', 'Twitter'), ('Gamification', 'Young Adults'), ('Gamification', 'Twitter'), ('Obese', 'Young Adults'), ('Coaching', 'Young Adults')]"
['Support Group'],5,"['Support Group', 'Women', 'Adults', 'Coaching', 'Overweight']","[('Coaching', 'Support Group'), ('Adults', 'Support Group'), ('Overweight', 'Support Group'), ('Support Group', 'Women')]"
['Mobile App'],5,"['Obese', 'Women', 'Coaching', 'Mobile App', 'Overweight']","[('Mobile App', 'Obese'), ('Mobile App', 'Overweight'), ('Mobile App', 'Women'), ('Coaching', 'Mobile App')]"
['Breast Cancer'],5,"['Messaging', 'Breast Cancer', 'Web App', 'Coaching', 'Women']","[('Breast Cancer', 'Messaging'), ('Breast Cancer', 'Web App'), ('Breast Cancer', 'Women'), ('Breast Cancer', 'Coaching')]"
['Adolescents'],5,"['Obese', 'Adolescents', 'Messaging', 'Web App', 'Overweight']","[('Adolescents', 'Obese'), ('Adolescents', 'Overweight'), ('Adolescents', 'Web App'), ('Adolescents', 'Messaging')]"
"['Cardiometabolic Risk', 'Adults']",4,"['Cardiometabolic Risk', 'Adults', 'Coaching', 'Knee Osteoarthritis']","[('Adults', 'Cardiometabolic Risk'), ('Cardiometabolic Risk', 'Coaching'), ('Adults', 'Knee Osteoarthritis'), ('Coaching', 'Knee Osteoarthritis')]"
['Healthy'],4,"['Cash', 'Charity Incentives', 'Healthy', 'Older Adults']","[('Charity Incentives', 'Healthy'), ('Healthy', 'Older Adults'), ('Cash', 'Healthy')]"
"['Web App', 'ASCVD']",4,"['Web App', 'ASCVD', 'Podcasts ', 'Women']","[('ASCVD', 'Women'), ('Podcasts ', 'Web App'), ('Podcasts ', 'Women'), ('ASCVD', 'Web App')]"
"['Alcoholism', 'Pregnancy']",4,"['Alcoholism', 'Pregnancy', 'Coaching', 'Women']","[('Pregnancy', 'Women'), ('Alcoholism', 'Women'), ('Alcoholism', 'Coaching'), ('Coaching', 'Pregnancy')]"
['Cancer Survivors'],3,"['Cancer Survivors', 'Adults', 'Coaching']","[('Adults', 'Cancer Survivors'), ('Cancer Survivors', 'Coaching')]"
"['Facebook Group', 'Adolescents']",3,"['Facebook Group', 'Adolescents', 'ADHD']","[('ADHD', 'Facebook Group'), ('Adolescents', 'Facebook Group'), ('ADHD', 'Adolescents')]"
['Diabetes'],3,"['Obese', 'Diabetes', 'Web App']","[('Diabetes', 'Web App'), ('Diabetes', 'Obese')]"
['Healthy'],3,"['Facebook Group', 'Adolescents', 'Healthy']","[('Facebook Group', 'Healthy'), ('Adolescents', 'Healthy')]"
['Lung Transplant'],3,"['Gamification', 'Lung Transplant', 'Web App']","[('Gamification', 'Lung Transplant'), ('Lung Transplant', 'Web App')]"
['Older Adults'],3,"['Older Adults', 'Coaching', 'Overweight']","[('Coaching', 'Older Adults'), ('Older Adults', 'Overweight')]"
"['Charity Incentives', 'Cash']",3,"['Charity Incentives', 'Cash', 'Older Adults']","[('Charity Incentives', 'Older Adults'), ('Cash', 'Older Adults'), ('Cash', 'Charity Incentives')]"
['Adults'],3,"['Charity Incentives', 'Adults', 'Cash']","[('Adults', 'Cash'), ('Adults', 'Charity Incentives')]"
['Lung Transplant'],3,"['Lung Transplant', 'Adults', 'Coaching']","[('Adults', 'Lung Transplant'), ('Coaching', 'Lung Transplant')]"
['Diabetes'],3,"['Adults', 'Coaching', 'Diabetes']","[('Adults', 'Diabetes'), ('Coaching', 'Diabetes')]"
['Coaching'],3,"['Leukemia', 'Children', 'Coaching']","[('Coaching', 'Leukemia'), ('Children', 'Coaching')]"
"['Personal Training', 'Ovarian Cancer']",2,"['Personal Training', 'Ovarian Cancer']","[('Ovarian Cancer', 'Personal Training')]"
"['ASCVD', 'Podcasts ']",2,"['ASCVD', 'Podcasts ']","[('ASCVD', 'Podcasts ')]"
"['Men', 'Personal Training']",2,"['Men', 'Personal Training']","[('Men', 'Personal Training')]"
"['Children', 'Social Support']",2,"['Children', 'Social Support']","[('Children', 'Social Support')]"
"['Leukemia', 'Children']",2,"['Leukemia', 'Children']","[('Children', 'Leukemia')]"
"['Messaging', 'Cancer Survivors']",2,"['Messaging', 'Cancer Survivors']","[('Cancer Survivors', 'Messaging')]"
"['Social Support', 'Older Adults']",2,"['Social Support', 'Older Adults']","[('Older Adults', 'Social Support')]"
"['TKA', 'Adults']",2,"['TKA', 'Adults']","[('Adults', 'TKA')]"
"['Healthy', 'Social Support']",2,"['Healthy', 'Social Support']","[('Healthy', 'Social Support')]"
"['Children', 'Healthy']",2,"['Children', 'Healthy']","[('Children', 'Healthy')]"
"['Healthy', 'Facebook Announcement']",2,"['Healthy', 'Facebook Announcement']","[('Facebook Announcement', 'Healthy')]"
"['Young Adults', 'Twitter']",2,"['Young Adults', 'Twitter']","[('Twitter', 'Young Adults')]"
"['Autism', 'Young Adults']",2,"['Autism', 'Young Adults']","[('Autism', 'Young Adults')]"
"['Social Support', 'Diabetes']",2,"['Social Support', 'Diabetes']","[('Diabetes', 'Social Support')]"
"['Healthy', 'Support Group']",2,"['Healthy', 'Support Group']","[('Healthy', 'Support Group')]"
